sheet,page,workdir,status,flags,head_r2,head_max_resid_pct,power_r2,power_max_resid_pct,eff_r2,eff_max_resid_pct,hyd_check_pts
C:/Users/Rajan/OneDrive - Accutant Solutions LLC/Accutant RC/ConsultingToolset/ESP/Dataset/Raw PumpCurveImages/BHI\BHI-046.png,1,C:\Users\Rajan\OneDrive - Accutant Solutions LLC\Accutant RC\ConsultingToolset\ESP\Dataset\Raw PumpCurveImages\runs_bhi2\BHI-046,ok,,0.9999929778384571,0.565779527376528,0.9999777326845675,0.08380665714118099,0.9999820997076545,0.47149465540479757,0.18579275471930856
C:/Users/Rajan/OneDrive - Accutant Solutions LLC/Accutant RC/ConsultingToolset/ESP/Dataset/Raw PumpCurveImages/BHI\BHI-047.png,1,C:\Users\Rajan\OneDrive - Accutant Solutions LLC\Accutant RC\ConsultingToolset\ESP\Dataset\Raw PumpCurveImages\runs_bhi2\BHI-047,ok,,0.9999929778384571,0.565779527376528,0.9999777326845675,0.08380665714118099,0.9999820997076545,0.47149465540479757,0.18579275471930856
C:/Users/Rajan/OneDrive - Accutant Solutions LLC/Accutant RC/ConsultingToolset/ESP/Dataset/Raw PumpCurveImages/BHI\BHI-048.png,1,C:\Users\Rajan\OneDrive - Accutant Solutions LLC\Accutant RC\ConsultingToolset\ESP\Dataset\Raw PumpCurveImages\runs_bhi2\BHI-048,ok,,0.9999923953151726,0.6145263280301999,0.9999204551100347,0.14157356958996872,0.9998864006393033,0.7646464392006328,0.30504673861588216
C:/Users/Rajan/OneDrive - Accutant Solutions LLC/Accutant RC/ConsultingToolset/ESP/Dataset/Raw PumpCurveImages/BHI\BHI-049.png,1,C:\Users\Rajan\OneDrive - Accutant Solutions LLC\Accutant RC\ConsultingToolset\ESP\Dataset\Raw PumpCurveImages\runs_bhi2\BHI-049,ok,,0.9999940791941808,0.4537811565363635,0.9999009544552535,0.16389454647939755,0.9999302703300433,0.5433174557055499,0.29451186610160107
C:/Users/Rajan/OneDrive - Accutant Solutions LLC/Accutant RC/ConsultingToolset/ESP/Dataset/Raw PumpCurveImages/BHI\BHI-050.png,1,C:\Users\Rajan\OneDrive - Accutant Solutions LLC\Accutant RC\ConsultingToolset\ESP\Dataset\Raw PumpCurveImages\runs_bhi2\BHI-050,ok,,0.9999940791941808,0.4537811565363635,0.9999009544552535,0.16389454647939755,0.9999302703300433,0.5433174557055499,0.29451186610160107
C:/Users/Rajan/OneDrive - Accutant Solutions LLC/Accutant RC/ConsultingToolset/ESP/Dataset/Raw PumpCurveImages/BHI\BHI-051.png,1,C:\Users\Rajan\OneDrive - Accutant Solutions LLC\Accutant RC\ConsultingToolset\ESP\Dataset\Raw PumpCurveImages\runs_bhi2\BHI-051,ok,,0.9999952956760553,0.2623612647872675,0.9999346319395088,0.1398465679063718,0.9998959663502539,0.4304631509043973,0.2978111602710598
C:/Users/Rajan/OneDrive - Accutant Solutions LLC/Accutant RC/ConsultingToolset/ESP/Dataset/Raw PumpCurveImages/BHI\BHI-052.png,1,C:\Users\Rajan\OneDrive - Accutant Solutions LLC\Accutant RC\ConsultingToolset\ESP\Dataset\Raw PumpCurveImages\runs_bhi2\BHI-052,ok,,0.9999960069540238,0.27843899606853734,0.9998976760723259,0.17216650197586367,0.9999432386113978,0.8914280997162061,0.34338918535186025
C:/Users/Rajan/OneDrive - Accutant Solutions LLC/Accutant RC/ConsultingToolset/ESP/Dataset/Raw PumpCurveImages/BHI\BHI-053.png,1,C:\Users\Rajan\OneDrive - Accutant Solutions LLC\Accutant RC\ConsultingToolset\ESP\Dataset\Raw PumpCurveImages\runs_bhi2\BHI-053,ok,,0.9999960069540238,0.27843899606853734,0.9998976760723259,0.17216650197586367,0.9999432386113978,0.8914280997162061,0.34338918535186025
C:/Users/Rajan/OneDrive - Accutant Solutions LLC/Accutant RC/ConsultingToolset/ESP/Dataset/Raw PumpCurveImages/BHI\BHI-054.png,1,C:\Users\Rajan\OneDrive - Accutant Solutions LLC\Accutant RC\ConsultingToolset\ESP\Dataset\Raw PumpCurveImages\runs_bhi2\BHI-054,ok,,0.9999940857921961,0.21289995837405892,0.9999348988948267,0.17212539749384603,0.9999726539648006,0.30805898595289755,0.10564074434354609
C:/Users/Rajan/OneDrive - Accutant Solutions LLC/Accutant RC/ConsultingToolset/ESP/Dataset/Raw PumpCurveImages/BHI\BHI-055.png,1,C:\Users\Rajan\OneDrive - Accutant Solutions LLC\Accutant RC\ConsultingToolset\ESP\Dataset\Raw PumpCurveImages\runs_bhi2\BHI-055,ok,,0.9999932056937783,0.29240430632772935,0.9999848594718617,0.09504452610421858,0.999903433972958,0.6617582490842402,0.19415496776376528
